Student_ID,Department,Attendance_in_percent,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1034,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,86.48,F
S1035,CS,85.96,98.75,64.03,53.6,86.69,4.04,94.73,55.82,A
S1036,CS,71.96,47.46,86.1,56.84,63.17,6.67,77.85,81.78,F
S1037,CS,89.34,62.36,92.04,83.29,84.74,8.37,66.52,63.48,A
S1038,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,82.58,A
S1039,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,72.85,A
S1040,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,55.76,C
S1041,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,62.36,A
S1042,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,60.99,A
S1043,CS,79.01,82.75,72.32,72.47,85.89,7.79,80.38,58.23,A
S1044,Mathematics,84.1,98.37,49.24,62.38,77.52,1.39,60.58,73.42,D
S1045,CS,66.87,72.25,88.65,54.94,77.86,1.33,66.85,97.73,C
S1046,CS,,69.91,44.14,77.41,87.63,1.98,96.58,82.9,C
S1047,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.7,91.8,A
S1048,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,99.05,B
S1049,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,77.03,B
S1050,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,61.9,A
S1051,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,96.39,D
S1052,CS,60.6,72.92,83.31,66.12,64.37,8.52,89.62,84.95,B
S1053,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,97.95,C
S1054,Business,,52.45,85.21,93.65,61.64,8.66,92.48,82.55,B
S1055,Business,81.75,52.5,50.77,,97.27,7.79,81.44,88.76,A
S1056,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,94.53,F
S1057,CS,89.58,82.7,63.53,87.8,70.93,0.64,51.69,87.96,A
S1058,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,78.13,B
S1059,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,73.6,F
S1060,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,91.17,D
S1061,CS,82.34,94.72,93.7,,79.49,6.06,57.93,88.6,B
S1062,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,68.32,A
S1063,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,74.92,F
S1064,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,81.75,C
S1065,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,F
S1066,Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,62.38,A
S1067,CS,59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,D
S1068,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,A
S1069,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,A
S1070,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,B
S1071,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,C
S1072,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,B
S1073,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,A
S1074,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,97.42,A
S1075,CS,82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,F
S1076,Engineering,70.77,70.22,66.31,,62.41,5.81,56.51,58.85,A
S1077,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,D
S1078,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,A
S1079,CS,66.98,87.9,55.08,,84.75,6.95,94.17,91.88,A
S1080,CS,81.72,46.07,47.28,,98.23,2.94,61.99,63.81,A
S1081,CS,,87.98,42.12,70.51,55.98,1.61,77.46,72.43,D
S1082,Mathematics,,47.22,56.54,65.88,69.96,8.5,55.75,84.68,A
S1083,CS,57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,D
S1084,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.5,F
S1085,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,C
S1086,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,C
S1087,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,B
S1088,Engineering,,99.36,99.07,73.48,83.84,3.77,62.91,50.27,C
S1089,Mathematics,,76.64,57.51,61.99,96.23,3.62,72.4,88.34,F
S1090,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81,70.84,C
S1091,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,B
S1092,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,D
S1093,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,A
S1094,CS,,85.57,80.41,,57.11,4.97,50.27,84.74,F
S1095,Mathematics,79.72,60.69,90.69,53.38,74.34,5,76.21,50.66,D
S1096,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,A
S1097,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78,A
S1098,CS,97.94,61.52,59.15,71.03,56.47,10,58.37,99.11,B
S1099,CS,88.66,97.91,57,57.87,91.16,5.19,90.87,63.62,B
S1100,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,A
S1101,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,F
S1102,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,F
S1103,CS,50.32,94.19,76.21,53.48,99.5,1.03,57.33,53.9,D
S1104,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,A
S1105,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,A
S1106,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,D
S1107,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,F
S1108,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,A
S1109,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,B
S1110,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,F
S1111,Engineering,98.51,79.54,89,65.39,51.19,1.91,71.59,98.14,B
S1112,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B
S1113,CS,67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,C
S1114,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.3,58.81,C
S1115,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,51.03,B
S1116,CS,50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,D
S1117,CS,,77.95,95.93,52.68,70.11,6.95,76.29,79,B
S1118,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B
S1119,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A
S1120,CS,67.25,58.15,55.54,59.53,56.1,2.35,71.57,63.04,B
S1121,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C
S1122,Mathematics,68,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B
S1123,CS,50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D
S1124,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D
S1125,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C
S1126,CS,54,51.61,75.62,85.1,60.75,9.79,59.58,59.76,F
S1127,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A
S1128,CS,50.48,96.26,63.43,86.22,81.07,2.1,74.52,93.31,D
S1129,Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,69.16,A
S1130,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.1,A
S1131,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A
S1132,CS,52.9,84.2,47.22,64.81,72.71,3.77,57.15,82.59,D
S1133,Mathematics,79.18,64.39,42,,89.38,2.93,85.69,83.79,D
S1134,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,A
S1135,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,A
S1136,Business,,73.46,65.85,95.6,83.23,1.09,80.61,69.69,F
S1137,Engineering,63.02,59.87,70.2,76.74,70.48,9.54,75.72,95.55,C
S1138,Business,92.88,60.64,85.47,,85.5,2.94,80.96,56.48,A
S1139,CS,68.73,57.42,63.53,88.8,62.83,2.95,97.16,64.28,D
S1140,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.3,D
S1141,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B
S1142,Engineering,82.73,72.88,90.99,,71.08,4.19,81.81,57.42,A
S1143,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,B
S1144,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D
S1145,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,F
S1146,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F
S1147,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,A
S1148,Business,70.67,44.09,66.9,59.24,99.45,4.39,52.83,98.22,D
S1149,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,C
S1150,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,C
S1151,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,A
S1152,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,C
S1153,Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,D
S1154,CS,76.46,78.78,98.75,60.62,58.68,9.89,98.44,52.39,A
S1155,CS,,95.4,44.44,84.66,82.65,0.41,65.54,85.11,F
S1156,Engineering,53.66,50.14,53,91.29,59.65,1.69,84.13,66.34,D
S1157,Business,79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,B
S1158,Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,F
S1159,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,D
S1160,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,A
S1161,Engineering,60.28,63.3,56.83,99.24,61.22,9.29,76.63,76.84,C
S1162,CS,52.04,90.67,65.76,99.44,77.6,0.12,66.99,92.67,D
S1163,Business,83.61,40.26,50.63,,62.59,3.65,72.55,98.64,A
S1164,Mathematics,,71.21,97.85,85.46,75.16,7.61,93.48,87.66,F
S1165,Engineering,50.88,53.03,46.46,97.56,65.1,1.54,60.55,88.34,D
S1166,CS,62.57,84.61,99.13,72.5,75.31,0.78,64.74,76.45,C
S1167,CS,65.47,42.58,90.51,56.84,63.88,6.31,89.27,54.87,A
S1168,Engineering,80.84,89.89,65.39,83.45,99,0.1,96.76,83.35,A
S1169,Engineering,58.63,90.29,84.39,98.01,74.64,8.02,54.65,57.39,D
S1170,Business,70.65,89.97,80.29,84.86,87.18,0.67,90.19,62.28,D
S1171,CS,74.12,49.15,52.8,90.17,85.03,5.24,82.25,85.38,C
S1172,Business,72.96,77.82,60.34,,74.53,7.4,61.54,82.85,F
S1173,Engineering,98.7,40.86,70.79,54.82,61.94,2.42,87.79,65.72,B
S1174,CS,,90.88,78.27,58.44,75.54,1.04,86.4,88.6,C
S1175,Engineering,97.55,83.38,72.57,99.13,84.05,1.76,57.1,96.97,A
S1176,CS,79.1,71.87,68.38,74.66,73,8.55,75.11,77.26,F
S1177,Engineering,89.79,83.84,66.59,50.6,54.1,7.06,87.91,83.88,A
S1178,Business,71.52,45.66,69.9,97.77,50.9,1.98,59.58,63.59,B
S1179,Engineering,72.69,71.72,66.06,74.89,66.39,7.16,73.14,98.54,F
S1180,Business,93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,A
S1181,Engineering,94.8,98.36,93.28,77.42,95.31,9.98,65.34,94.37,A
S1182,CS,61.93,91.43,77.97,55.09,58.79,3.92,60.9,96.39,A
S1183,Engineering,59.96,84,83.36,80.78,69.71,8.65,75.25,85.98,C
S1184,Engineering,74.81,96.02,75.85,,85.6,4.46,57.06,90.58,D
S1185,CS,95.01,60.81,78.58,51.74,90.77,8.98,69.16,72.89,A
S1186,CS,66.12,94.05,74.7,92.09,73.89,0.92,63.76,95.98,A
S1187,Engineering,82.6,59.51,41.61,61.77,59.06,1.75,87.3,87.13,F
S1188,CS,85.41,83.97,99.98,69.69,63.54,8.5,84.98,66.34,A
S1189,CS,88.93,84.19,42.02,68.64,70.95,8.19,54.75,51.75,A
S1190,Engineering,78.2,41.1,63.71,,68.23,3.05,97.67,77.04,F
S1191,CS,70.12,61.66,46.31,75.22,67.43,5.97,87.23,92.03,F
S1192,Mathematics,98.35,41.17,45.82,72.36,56.59,3.83,80.8,93.03,B
S1193,CS,80.57,99.83,87.61,,95.67,0.1,73.89,91.76,F
S1194,Business,86.43,47.33,65.56,52.45,51.49,0.26,58.9,60.74,A
S1195,Engineering,67.25,72.57,88.07,54.32,72,0.54,98.1,71.31,C
S1196,Business,83.5,87.43,56.37,51.08,99.02,5.94,50.39,80.69,C
S1197,CS,62.89,52.08,55.39,84.4,82.99,2.79,84.62,83.38,D
S1198,Mathematics,62.25,69.1,55.07,76.28,67.77,1.44,75.37,66.73,D
S1199,Engineering,85.74,76.45,76.97,93.8,57.3,9.41,95.13,84.63,A
S1200,Business,76.07,49.61,88.9,74.93,98.19,1.21,69.03,79.54,C
S1201,CS,84.16,86.71,67.14,61.09,50.7,6.74,75.93,78.34,C
S1202,CS,63.47,57.96,62.75,90.26,84.07,8.94,87.12,83.15,B
S1203,Engineering,79.94,52.66,98.41,64.72,94.01,1.64,52.38,80.17,A
S1204,CS,72.2,73.5,47.01,96.78,51.26,2.15,52.72,58.34,C
S1205,Engineering,79.85,64.62,69.2,62.52,86.26,5.74,60.58,93.72,C
S1206,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,62.03,D
S1207,Engineering,85.77,92.8,45.89,74.67,81.98,5.21,50.32,87.22,B
S1208,Mathematics,90.3,69,56.09,52.53,70.73,5.55,81.15,58.82,B
S1209,Engineering,63,61.56,41.71,51.82,93.72,9.5,89.8,83.05,D
S1210,Business,65.03,59.53,92.62,74.8,77.71,0.54,97.86,94.78,C
S1211,Engineering,83.06,56.05,76.47,60.76,87.47,7.6,72.05,50.49,F
S1212,Engineering,,72.67,88.9,50.47,79.39,2.33,63.99,98.98,B
S1213,Mathematics,85.2,88.3,71.29,64.8,51.91,3.74,93.2,51.48,A
S1214,Business,84.13,58.65,75.97,73.87,60.66,0.89,92.22,50.57,A
S1215,Business,69.64,51.41,82.05,69.71,53.94,4.46,81.24,92.88,B
S1216,CS,69.74,68.53,94.48,56.77,55.33,8.04,63.66,85.44,D
S1217,Engineering,62.74,44.14,45.51,78.98,50.77,0.99,95.43,55.29,B
S1218,CS,57.84,82.08,59.86,,71.06,2.76,58.92,96.87,C
S1219,Engineering,,71.1,82.54,83.78,58.93,3.73,52.18,83.6,A
S1220,Engineering,54.66,69.78,97.5,69.69,92.78,1.04,89.83,55.55,F
S1221,Business,96.89,58.03,98.85,56.88,87.5,7.62,78.18,93.03,A
S1222,Business,91.33,94.28,78.29,74.97,78.66,7.87,62.32,74.05,A
S1223,Engineering,92.88,45.43,51.62,94.52,74.45,8.36,83.54,63.91,B
S1224,CS,95.33,92.19,47.15,73.44,62.79,5.84,88.34,91.25,A
S1225,Business,70.43,62.6,96.76,59.78,73.75,5.07,92.23,86.92,B
S1226,CS,92.34,92.84,66.04,54.65,82.06,2.63,64.11,81.15,B
S1227,Engineering,,83.73,51.69,97.2,89.11,6.55,51.28,94.93,B
S1228,CS,51.08,46.25,96.03,87.15,54.08,4.45,75.5,93.06,D
S1229,CS,89.24,89.89,46.27,,85.42,9.71,92.8,61.34,B
S1230,Mathematics,53.74,80.93,83.77,64.77,87.14,9.68,60.39,93.93,D
S1231,CS,99.43,41.94,77.52,94.76,77.95,9.05,71.06,68.7,B
S1232,Engineering,83.74,48.02,45.26,58.88,60.72,3.6,62.82,71.59,C
S1233,CS,87.67,78.14,60.32,76.75,76.96,3.68,50.67,98.62,A
S1234,Mathematics,62.29,79.76,49,85.68,75.14,8.53,94.93,87.99,D
S1235,Business,83.69,84.8,76.27,69.82,73.79,7.29,56.75,66.07,D
S1236,CS,52.16,83.21,68.63,52,73.03,7.04,88.34,82.4,D
S1237,CS,91.89,79.57,40.26,61.39,55.54,2.8,67.33,76.97,B
S1238,Engineering,,85.97,98.54,95.09,59.14,8.33,63.88,55.83,B
S1239,CS,84.87,74.51,60.98,,54.87,5.79,97.05,94.39,F
S1240,Engineering,61.22,55.65,55.49,90.77,62.12,4.47,82.86,91.09,F
S1241,CS,53.42,94.74,53.35,77.78,63.17,8.65,84.35,88.89,D
S1242,CS,74.07,41.09,49.53,97.18,62.25,3.94,87.98,77.96,D
S1243,Engineering,58.46,61.99,99.95,,60.55,6.54,67.05,61.04,F
S1244,CS,86.47,83.73,57.71,,86.77,4.66,78.18,94.19,B
S1245,Business,61.88,65.63,64.33,65.91,90.93,5.93,63.51,67.65,B
S1246,CS,67.12,41.49,92.28,80.08,66.36,0.41,91.73,51.01,C
S1247,CS,78.37,43.96,78.51,83.74,65.26,4.61,79.97,99.09,B
S1248,Mathematics,64.25,78.92,62.12,,92.2,5.56,62.17,93.06,B
S1249,Engineering,,97.89,93.9,91.11,81.2,4.93,94.99,81.13,B
S1250,Business,90.78,73.11,84.98,59.17,64.67,8.47,79.04,50.62,A
S1251,CS,58.96,70.41,53.67,,85.68,3.11,74.75,61.39,D
S1252,Engineering,54.11,59.1,78.62,84.32,67.23,8.84,51.72,72.6,C
S1253,Business,66.42,55.4,95.34,,79.33,4.03,95.49,81.4,C
S1254,CS,71.22,41.26,69.79,71.99,99.63,6.95,97.61,85.41,C
S1255,Business,77.13,56.38,84.02,98.19,65.08,0.87,78.13,89.41,C
S1256,Engineering,68.62,66.95,98.27,81.29,96.53,2,72.13,77.78,A
S1257,CS,89.5,51.88,81.42,97.45,66.03,7.61,67.98,82.81,A
S1258,Engineering,51.97,45.24,46.15,86.12,77.01,0.12,63.4,90.56,D
S1259,Engineering,71.59,83.06,54.67,86.23,73,9.69,78.73,85.99,C
S1260,CS,69.11,93.68,75.71,79.59,89.16,1.91,56.4,97.74,A
S1261,Engineering,82.38,96.21,56.53,57.11,53.05,9.01,95.96,93.73,F
S1262,CS,98.31,77.08,97.45,,81.36,5.16,58.8,58.47,A
S1263,Engineering,75.52,43.17,64.32,62.63,88.03,5.65,87.28,97.37,C
S1264,Business,99.34,84.45,67.43,99.93,73.61,0.84,65.34,60.21,B
S1265,Engineering,65.11,46.61,82.1,63.35,55.26,3.65,61.3,99.56,F
S1266,Mathematics,51.54,80.18,71.45,61.53,62.24,1.56,77.89,85.07,D
S1267,CS,58.28,86.76,62.93,81.19,83.98,5.26,88.26,81.38,F
S1268,Engineering,69.76,83.55,44.6,75.55,94.77,5.51,86.34,66.22,B
S1269,Business,,97.11,75.79,51.07,71.08,7.1,61.69,56.66,B
S1270,Engineering,,84.29,92.05,56.48,78.02,8.78,66.53,56.31,C
S1271,Engineering,71.63,81.59,81.15,90.55,61.42,4.68,93.44,93.33,B
S1272,CS,66.91,55.7,62.89,74.18,70.61,2.33,86.16,71.62,F
S1273,CS,,95.49,47.66,57.3,66.84,3.34,85.63,77.99,F
S1274,CS,64.81,50.77,88.98,73.26,82.78,8.47,63.45,96.59,B
S1275,Mathematics,94.32,94.29,96.5,62.66,99.23,1.46,89.6,62.77,B
S1276,CS,,58.76,63.3,61.18,90.67,6.27,67.92,88.2,F
S1277,Business,85.7,47.81,83.72,97.89,59.61,0.13,70.07,73.52,B
S1278,Engineering,80.6,89.6,64.65,68.1,78.88,2.46,64.38,60.64,C
S1279,CS,71.36,40.15,70.14,52.32,53.32,5.91,56.07,92.65,D
S1280,Engineering,61.95,89.93,90.19,98.52,62.35,4.56,71.02,84,F
S1281,Business,68.45,55.74,45.01,89.74,58.61,4.94,50.85,54.75,D
S1282,Business,79.61,93.08,71.82,62.72,66.78,6.61,72.8,77.09,D
S1283,CS,,81.49,52.88,70.44,83.94,2.35,86.25,92.59,F
S1284,CS,60.74,79.97,60.39,93.11,74.97,2.81,98.04,53.35,C
S1285,CS,55.82,61.92,78.67,67.87,96.65,6.84,53.93,70.81,F
S1286,CS,,43.56,41.63,78.37,60.64,5.38,64.06,90.26,A
S1287,Engineering,72.02,89.8,75.63,76.74,68.21,0.15,74.71,92.92,B
S1288,Business,81.26,50.25,57.01,70.06,66.49,6.7,58.52,88.77,A
S1289,CS,74.52,62.34,80.17,81.98,61.8,6.2,55.84,65.29,F
S1290,Business,93.63,76.02,48.49,73.66,99.66,0.79,72.62,75.35,B
S1291,Engineering,77.35,68.94,84.15,51.06,69.36,7.48,79.04,87.06,B
S1292,CS,74.04,51.92,78.74,90.72,97.03,5.22,91.01,57.63,A
S1293,CS,96.23,48.44,98.27,55.66,69.52,2.05,99.89,79.75,B
S1294,Business,,47.39,94.67,73.2,60.2,5.59,88.71,86.02,F
S1295,Business,55.58,91.78,57,79,55.96,5.95,61.07,92.5,D
S1296,Engineering,58.89,41.89,41.64,85.28,92.78,9.2,87.4,55.58,C
S1297,CS,89.36,98.62,79.32,70.54,51.6,7.42,76.86,66.48,A
S1298,CS,91.79,51.91,76.17,86.78,98.22,3.02,72.54,77.08,A
S1299,CS,77.26,46.62,41.65,56.57,70.91,1.18,96.79,85.05,A
S1300,Engineering,77.72,74.62,47.36,82.67,62.37,8.53,85.1,86.5,B
S1301,Business,81.6,44.8,75.08,91.32,80.87,8.46,84.08,62.66,C
S1302,CS,71.96,76.15,94.71,94.47,56.65,1.75,50.59,50.69,C
S1303,Business,84.01,91.04,94.39,,53.61,0.62,93.25,84.69,B
S1304,Engineering,55.42,42.87,49.09,65.64,91.39,7.12,89.67,95.46,D
S1305,Engineering,98.06,87.99,63.07,58.17,71.23,7.23,64.95,89.88,A
S1306,Mathematics,87.51,63.67,42.59,67.28,75.91,1.77,64.61,81.12,B
S1307,CS,81.56,49.57,68.16,77,58.83,6.68,52.67,98.88,D
S1308,Mathematics,65.82,50.57,85.19,59.82,53.07,2.79,52.54,71.66,B
S1309,CS,58.05,95.13,87.4,97.63,68.39,2.61,83.43,76.25,C
S1310,CS,70.47,46.64,69.94,94.86,75.31,3.25,59.31,50.61,C
S1311,Business,83.08,92.01,45.75,51.65,88.27,5.2,96.18,97.3,F
S1312,Mathematics,,72.65,62.88,78.1,75.05,8.04,92.12,79.17,F
S1313,Engineering,69.13,42.34,95.93,89.47,89.13,4.99,67.44,69.54,D
S1314,Engineering,80.66,67.87,53.78,62.27,55.77,2.98,69,52.23,B
S1315,Business,90.69,89.05,59.19,76.19,53.2,8.84,66.36,68.12,A
S1316,Business,51.31,83.57,84.81,70.3,57.94,0.55,54.62,50.18,F
S1317,CS,72.53,69.33,84.01,59.83,88.6,7.97,51.57,66.22,B
S1318,Business,,91.6,94.73,80.74,87.97,7.84,72.61,97.57,C
S1319,Engineering,77.31,47.22,63.29,99.68,57.07,2.54,97.15,57.71,B
S1320,Engineering,82.57,94.6,70.88,68.26,51.55,1.98,95.86,77.27,D
S1321,Engineering,75.83,90.79,68.04,77.62,84.26,8.75,90.49,59.33,A
S1322,Engineering,99.59,82.5,95.67,66.39,92.76,5.59,81.43,89.17,A
S1323,Mathematics,52.73,89.07,86.16,93.85,87.71,0.46,92.81,78.12,C
S1324,Engineering,74.55,72.63,89.89,,60.14,8.91,75.75,60.11,C
S1325,Mathematics,54.57,80.51,47.99,58.94,79.19,3.49,59.01,93.31,C
S1326,CS,57.99,73.64,87.51,95,87.87,3.42,84.21,89.2,D
S1327,Business,69.15,61.33,65.98,57.58,62.79,6.43,96.03,97.57,C
S1328,Business,57.78,74.13,41.4,54.77,76.39,6.61,50.98,50.03,D
S1329,Engineering,98.18,55.45,43.61,82.65,65.72,3.53,62.57,72.86,A
S1330,Engineering,97.34,66.42,80.67,69.3,61.28,1.43,63.27,99.99,B
S1331,Engineering,66.81,56.85,62.32,76.54,98.48,5.52,54.95,90.56,C
S1332,Business,81.99,47.37,92.09,82.63,95.63,6.25,61.27,91.56,C
S1333,Business,76.69,59.31,84.06,52.64,72.28,8.6,69.2,81.06,D
S1334,CS,90.78,91.12,41.3,64.65,56.84,4.84,96.99,85.64,A
