Student_ID,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level
S1262,Yes,PhD,Medium
S1263,Yes,Master's,Low
S1264,Yes,,Medium
S1265,Yes,PhD,Medium
S1266,Yes,PhD,High
S1267,Yes,,Medium
S1268,Yes,,Medium
S1269,No,None,Medium
S1270,Yes,PhD,High
S1271,Yes,None,Low
S1272,Yes,PhD,Medium
S1273,Yes,Bachelor's,Low
S1274,No,PhD,Medium
S1275,Yes,None,Low
S1276,Yes,,Low
S1277,Yes,Master's,High
S1278,Yes,High School,Medium
S1279,Yes,,High
S1280,Yes,,Medium
S1281,Yes,Bachelor's,Medium
S1282,Yes,High School,Medium
S1283,Yes,,Low
S1284,Yes,Master's,Low
S1285,Yes,Bachelor's,Medium
S1286,Yes,Master's,Medium
S1287,No,,High
S1288,Yes,PhD,Low
S1289,Yes,Bachelor's,Medium
S1290,Yes,High School,Low
S1291,Yes,High School,Medium
S1292,Yes,High School,Medium
S1293,Yes,,Low
S1294,Yes,Master's,Medium
S1295,Yes,PhD,Medium
S1296,Yes,Master's,Medium
S1297,No,PhD,Medium
S1298,Yes,Bachelor's,Low
S1299,Yes,None,High
S1300,Yes,High School,High
S1301,Yes,High School,Medium
S1302,Yes,PhD,Medium
S1303,Yes,Master's,Low
S1304,Yes,Bachelor's,Low
S1305,No,PhD,Medium
S1306,Yes,High School,Low
S1307,Yes,PhD,Low
S1308,Yes,None,Medium
S1309,Yes,None,Low
S1310,Yes,None,Low
S1311,Yes,,Low
S1312,Yes,None,Medium
S1313,Yes,Bachelor's,Medium
S1314,Yes,PhD,Low
S1315,Yes,Bachelor's,Medium
S1316,Yes,High School,Low
S1317,Yes,Master's,Low
S1318,Yes,None,Low
S1319,Yes,Master's,Low
S1320,Yes,PhD,Low
S1321,Yes,Bachelor's,High
S1322,Yes,,High
S1323,Yes,Master's,Medium
S1324,Yes,PhD,Low
S1325,Yes,Master's,Medium
S1326,Yes,High School,Medium
S1327,Yes,,Low
S1328,Yes,None,Low
S1329,Yes,Bachelor's,Medium
S1330,Yes,PhD,Low
S1331,Yes,PhD,Medium
S1332,Yes,,Low
S1333,Yes,PhD,Medium
S1334,Yes,PhD,Medium
S1335,Yes,None,Medium
S1336,Yes,High School,Low
S1337,Yes,High School,High
S1338,Yes,Bachelor's,Low
S1339,Yes,High School,Medium
S1340,Yes,High School,Low
S1341,No,,Low
S1342,Yes,High School,Medium
S1343,Yes,High School,Low
S1344,Yes,High School,Medium
S1345,Yes,Master's,Medium
S1346,Yes,High School,High
S1347,Yes,Master's,High
S1348,No,None,Low
S1349,No,High School,Low
S1350,Yes,PhD,Medium
S1351,Yes,Master's,Low
S1352,Yes,High School,Medium
S1353,No,PhD,Low
S1354,Yes,Bachelor's,Medium
S1355,Yes,Master's,Medium
S1356,Yes,None,Medium
S1357,No,,Low
S1358,Yes,PhD,Low
S1359,No,Master's,Low
S1360,Yes,,Medium
S1361,Yes,High School,High
S1362,Yes,,Medium
S1363,Yes,High School,High
S1364,No,None,Low
S1365,Yes,,Medium
S1366,Yes,Master's,High
S1367,Yes,,Low
S1368,Yes,None,High
S1369,Yes,High School,Medium
S1370,Yes,,High
S1371,Yes,,Low
S1372,Yes,,Medium
S1373,Yes,None,Low
S1374,Yes,Bachelor's,Low
S1375,Yes,None,High
S1376,No,None,Medium
S1377,Yes,Master's,Medium
S1378,No,Bachelor's,Medium
S1379,Yes,None,Medium
S1380,Yes,High School,High
S1381,No,High School,High
S1382,Yes,Bachelor's,Medium
S1383,Yes,None,High
S1384,Yes,Bachelor's,Low
S1385,Yes,None,Low
S1386,No,Master's,Low
S1387,Yes,PhD,High
S1388,No,High School,Medium
S1389,No,Bachelor's,High
S1390,Yes,High School,Low
S1391,Yes,None,Low
S1392,Yes,High School,Medium
S1393,Yes,,Low
S1394,Yes,Bachelor's,High
S1395,Yes,PhD,Medium
S1396,Yes,,Medium
S1397,Yes,Master's,Medium
S1398,Yes,High School,Medium
S1399,Yes,Bachelor's,Medium
S1400,Yes,,Low
S1401,Yes,,High
S1402,Yes,,Medium
S1403,Yes,Master's,Low
S1404,No,High School,Medium
S1405,Yes,Master's,Medium
S1406,Yes,None,High
S1407,Yes,High School,High
S1408,Yes,None,Low
S1409,Yes,PhD,Low
S1410,Yes,High School,Low
S1411,Yes,None,Low
S1412,Yes,Master's,Medium
S1413,Yes,PhD,Medium
S1414,Yes,,High
S1415,Yes,,High
S1416,Yes,PhD,Medium
S1417,Yes,Bachelor's,Medium
S1418,Yes,Bachelor's,Medium
S1419,No,PhD,Medium
S1420,No,None,Low
S1421,Yes,,Low
S1422,Yes,High School,High
S1423,Yes,,Medium
S1424,No,None,Medium
S1425,Yes,,High
S1426,Yes,Bachelor's,Low
S1427,Yes,None,Medium
S1428,Yes,Master's,Low
S1429,Yes,,Medium
S1430,Yes,None,Low
S1431,No,Bachelor's,Medium
S1432,Yes,None,Low
S1433,Yes,PhD,Medium
S1434,Yes,Bachelor's,High
S1435,Yes,None,Low
S1436,No,,Low
S1437,Yes,,High
S1438,No,PhD,Medium
S1439,Yes,None,Medium
S1440,Yes,PhD,Medium
S1441,Yes,,Low
S1442,Yes,PhD,Medium
S1443,Yes,,Low
S1444,Yes,,High
S1445,Yes,None,Medium
S1446,Yes,Bachelor's,Low
S1447,Yes,Bachelor's,Medium
S1448,Yes,Bachelor's,Low
S1449,Yes,PhD,Low
S1450,No,,Medium
S1451,Yes,Bachelor's,Low
S1452,Yes,,Medium
S1453,Yes,Bachelor's,High
S1454,Yes,,High
S1455,Yes,PhD,Medium
S1456,Yes,None,High
S1457,Yes,PhD,Low
S1458,No,High School,Medium
S1459,Yes,None,Low
S1460,No,Bachelor's,Low
S1461,Yes,,Medium
S1462,Yes,High School,Low
S1463,Yes,None,Low
S1464,Yes,,Low
S1465,Yes,PhD,Low
S1466,Yes,PhD,Low
S1467,Yes,Bachelor's,Low
S1468,Yes,Master's,Low
S1469,Yes,Bachelor's,High
S1470,No,Master's,Low
S1471,Yes,None,Low
S1472,No,None,Low
S1473,Yes,PhD,Low
S1474,Yes,PhD,Low
S1475,No,None,Medium
S1476,Yes,Master's,High
S1477,Yes,Bachelor's,Medium
S1478,Yes,None,High
S1479,Yes,None,Medium
S1480,Yes,,Low
S1481,Yes,PhD,Medium
S1482,Yes,Master's,Medium
S1483,Yes,,Low
S1484,Yes,High School,High
S1485,No,High School,High
S1486,Yes,None,Medium
S1487,Yes,PhD,Low
S1488,Yes,None,Low
S1489,Yes,High School,Medium
S1490,Yes,High School,Low
S1491,Yes,Bachelor's,Low
S1492,Yes,None,Low
S1493,Yes,None,Medium
S1494,Yes,Master's,Medium
S1495,Yes,,Medium
S1496,Yes,PhD,Low
S1497,Yes,,High
S1498,Yes,None,Medium
S1499,Yes,PhD,Medium
S1500,Yes,Bachelor's,Medium
S1501,Yes,None,Medium
S1502,Yes,PhD,High
S1503,Yes,,Medium
S1504,No,None,Medium
S1505,Yes,,Medium
S1506,Yes,High School,Low
S1507,Yes,None,Low
S1508,Yes,Master's,Medium
S1509,Yes,PhD,Low
S1510,Yes,PhD,Low
S1511,Yes,None,Medium
S1512,Yes,High School,Medium
S1513,Yes,PhD,Medium
S1514,Yes,PhD,Low
S1515,Yes,High School,Low
S1516,Yes,Master's,Low
S1517,Yes,None,High
S1518,Yes,None,Low
S1519,Yes,None,Low
S1520,Yes,Bachelor's,Low
S1521,Yes,None,High
S1522,Yes,High School,Medium
S1523,Yes,None,Low
S1524,Yes,Master's,Low
S1525,Yes,Bachelor's,High
S1526,Yes,High School,Low
S1527,Yes,High School,Medium
S1528,Yes,,Medium
S1529,No,None,Medium
S1530,Yes,Bachelor's,High
S1531,Yes,Bachelor's,Low
S1532,Yes,Bachelor's,High
S1533,Yes,High School,Medium
S1534,Yes,Master's,High
S1535,Yes,High School,Low
S1536,Yes,,Low
S1537,Yes,,Low
S1538,No,Bachelor's,Medium
S1539,No,Bachelor's,Low
S1540,Yes,Bachelor's,High
S1541,Yes,High School,Medium
S1542,Yes,,High
S1543,Yes,Bachelor's,Medium
S1544,Yes,PhD,Medium
S1545,No,Master's,Low
S1546,No,,High
S1547,Yes,High School,Medium
S1548,Yes,None,Medium
S1549,Yes,,High
S1550,Yes,None,High
S1551,Yes,High School,Low
S1552,Yes,PhD,High
S1553,Yes,,Low
S1554,No,Master's,Medium
S1555,Yes,High School,Low
S1556,Yes,Master's,High
S1557,No,None,Medium
S1558,Yes,,High
S1559,Yes,None,Medium
S1560,Yes,Bachelor's,High
S1561,Yes,High School,High
S1562,Yes,None,High
S1563,Yes,,Low
S1564,No,PhD,Low
S1565,Yes,Bachelor's,Medium
S1566,Yes,Master's,Low
S1567,Yes,,High
S1568,Yes,Master's,High
S1569,Yes,None,Low
S1570,No,,Low
S1571,Yes,,Medium
S1572,Yes,Bachelor's,Medium
S1573,Yes,,Medium
S1574,Yes,Master's,Low
S1575,Yes,None,Low
S1576,Yes,PhD,Medium
S1577,No,PhD,Medium
S1578,Yes,Master's,Low
S1579,No,PhD,Low
S1580,Yes,Bachelor's,Medium
S1581,No,Master's,Medium
S1582,Yes,High School,High
S1583,Yes,Master's,Medium
S1584,No,High School,High
S1585,Yes,PhD,Low
S1586,Yes,Master's,Medium
S1587,Yes,Bachelor's,Medium
S1588,Yes,PhD,Medium
S1589,Yes,PhD,Low
S1590,Yes,PhD,Low
S1591,Yes,High School,Medium
S1592,Yes,High School,Medium
S1593,Yes,Bachelor's,Low
S1594,Yes,High School,Low
S1595,Yes,None,High
S1596,Yes,None,High
S1597,Yes,Master's,Low
S1598,Yes,PhD,High
S1599,Yes,None,Medium
S1600,Yes,High School,Medium
S1601,Yes,Bachelor's,Low
S1602,Yes,High School,Medium
S1603,Yes,PhD,High
S1604,Yes,,Low
S1605,Yes,None,Medium
S1606,Yes,None,High
S1607,Yes,High School,High
S1608,Yes,Master's,Low
S1609,Yes,High School,Medium
S1610,Yes,,Low
S1611,No,,Medium
S1612,Yes,,Medium
S1613,Yes,None,Medium
S1614,Yes,,Low
S1615,No,Bachelor's,Medium
S1616,Yes,None,Low
S1617,Yes,High School,Low
S1618,Yes,Bachelor's,Medium
S1619,Yes,PhD,High
S1620,No,PhD,Medium
S1621,Yes,,Low
S1622,No,,High
S1623,Yes,Master's,Low
S1624,Yes,PhD,Low
S1625,Yes,PhD,Medium
S1626,Yes,Master's,Medium
S1627,Yes,Bachelor's,Medium
S1628,Yes,,Medium
S1629,Yes,,Medium
S1630,Yes,,Medium
S1631,Yes,Master's,Low
S1632,Yes,,High
S1633,Yes,,Low
S1634,Yes,None,Medium
S1635,Yes,None,Low
S1636,Yes,High School,Low
S1637,Yes,Master's,Low
S1638,No,Bachelor's,Low
S1639,Yes,High School,High
S1640,Yes,Master's,High
S1641,Yes,High School,Medium
S1642,Yes,Bachelor's,Medium
S1643,Yes,High School,Low
S1644,Yes,High School,High
S1645,Yes,Bachelor's,Low
S1646,Yes,PhD,Low
S1647,Yes,High School,Medium
S1648,Yes,High School,Low
S1649,Yes,High School,Low
S1650,Yes,None,Low
S1651,Yes,None,High
S1652,Yes,Bachelor's,Medium
S1653,Yes,Master's,Medium
S1654,Yes,None,Low
S1655,Yes,Bachelor's,Medium
S1656,Yes,,Medium
S1657,No,Master's,Medium
S1658,Yes,None,High
S1659,Yes,PhD,Low
S1660,Yes,Master's,Low
S1661,Yes,Master's,Medium
S1662,Yes,None,High
S1663,Yes,None,Medium
S1664,Yes,High School,Medium
S1665,Yes,High School,Low
S1666,Yes,Master's,High
S1667,Yes,High School,Medium
S1668,No,High School,Low
S1669,Yes,,Medium
S1670,Yes,PhD,Medium
S1671,Yes,High School,Low
S1672,Yes,High School,Low
S1673,Yes,PhD,Low
S1674,No,None,High
S1675,Yes,Master's,Low
S1676,Yes,Bachelor's,Low
S1677,Yes,None,Low
S1678,Yes,PhD,Medium
S1679,Yes,PhD,Low
S1680,Yes,Master's,High
S1681,Yes,High School,Low
S1682,Yes,Bachelor's,Low
S1683,Yes,Bachelor's,Medium
S1684,Yes,Bachelor's,Low
S1685,Yes,,Low
S1686,Yes,PhD,High
S1687,Yes,,Medium
S1688,Yes,Bachelor's,High
S1689,Yes,,Low
S1690,Yes,None,Medium
S1691,Yes,,Medium
S1692,No,Master's,Medium
S1693,Yes,High School,Medium
S1694,Yes,High School,High
S1695,Yes,High School,Low
S1696,Yes,Bachelor's,Low
S1697,Yes,,High
S1698,No,None,Low
S1699,Yes,PhD,Medium
S1700,Yes,None,Medium
S1701,Yes,,Medium
S1702,Yes,,Medium
S1703,Yes,None,Medium
S1704,Yes,,High
S1705,Yes,High School,Low
S1706,Yes,,High
S1707,Yes,None,Medium
S1708,Yes,None,Medium
S1709,Yes,Bachelor's,Low
S1710,Yes,Master's,Low
S1711,Yes,High School,Medium
S1712,Yes,PhD,Low
S1713,Yes,PhD,Low
S1714,Yes,,Low
S1715,Yes,Master's,Medium
S1716,No,PhD,Medium
S1717,Yes,Bachelor's,High
S1718,No,High School,High
S1719,Yes,PhD,Medium
S1720,Yes,PhD,Low
S1721,Yes,,Low
S1722,Yes,Master's,Low
S1723,Yes,High School,Low
S1724,Yes,None,High
S1725,Yes,PhD,High
S1726,No,None,Low
S1727,No,Master's,High
S1728,Yes,None,High
S1729,Yes,Master's,High
S1730,No,High School,Low
S1731,No,Bachelor's,Low
S1732,Yes,Bachelor's,Medium
S1733,Yes,High School,Low
S1734,Yes,PhD,Medium
S1735,Yes,Master's,Low
S1736,Yes,None,High
S1737,Yes,Bachelor's,Low
S1738,Yes,None,Medium
S1739,Yes,None,High
S1740,Yes,,High
S1741,Yes,PhD,Medium
S1742,Yes,,Medium
S1743,Yes,None,Medium
S1744,Yes,None,Medium
S1745,Yes,,Low
S1746,Yes,None,Low
S1747,Yes,Master's,High
S1748,Yes,Bachelor's,Medium
S1749,Yes,None,Low
S1750,Yes,PhD,Medium
S1751,Yes,,Medium
S1752,No,High School,Low
S1753,Yes,PhD,Medium
S1754,Yes,High School,Medium
S1755,Yes,High School,Medium
S1756,Yes,None,Medium
S1757,No,,Low
S1758,No,,Low
S1759,Yes,PhD,Low
S1760,Yes,High School,Medium
S1761,Yes,None,Low
S1762,Yes,,High
S1763,Yes,PhD,Medium
S1764,Yes,High School,Medium
S1765,Yes,None,Medium
S1766,Yes,Master's,Low
S1767,Yes,PhD,Low
S1768,Yes,None,Low
S1769,Yes,Master's,Medium
S1770,Yes,High School,Medium
S1771,Yes,,High
S1772,Yes,High School,Medium
S1773,Yes,PhD,High
S1774,Yes,Bachelor's,High
S1775,Yes,Bachelor's,High
S1776,Yes,,Medium
S1777,No,Master's,Low
S1778,Yes,Bachelor's,Low
S1779,Yes,,High
S1780,Yes,PhD,Low
S1781,Yes,,Low
S1782,Yes,Bachelor's,Low
S1783,Yes,Master's,Medium
S1784,Yes,PhD,High
S1785,Yes,Bachelor's,Medium
S1786,Yes,Bachelor's,Low
S1787,Yes,,Medium
S1788,Yes,None,Medium
S1789,Yes,,Low
S1790,Yes,None,High
S1791,Yes,,Medium
S1792,Yes,High School,Low
S1793,Yes,,Low
S1794,Yes,PhD,Low
S1795,Yes,None,High
S1796,Yes,Bachelor's,Medium
S1797,Yes,,Low
S1798,Yes,Bachelor's,Low
S1799,Yes,PhD,Medium
S1800,Yes,Master's,Low
S1801,Yes,None,Medium
S1802,Yes,Master's,Low
S1803,Yes,Master's,High
S1804,Yes,None,Medium
S1805,Yes,,Low
S1806,No,None,Low
S1807,Yes,None,Medium
S1808,Yes,High School,Medium
S1809,Yes,High School,Medium
S1810,Yes,Bachelor's,High
S1811,Yes,None,Low
S1812,Yes,Master's,Low
S1813,Yes,Master's,Medium
S1814,Yes,High School,Medium
S1815,Yes,None,Medium
S1816,Yes,,Low
S1817,Yes,High School,High
S1818,Yes,High School,Low
S1819,Yes,Master's,Low
S1820,Yes,PhD,Low
S1821,Yes,PhD,Low
S1822,Yes,Master's,High
S1823,Yes,Master's,Low
S1824,Yes,Master's,Medium
S1825,Yes,PhD,Low
S1826,Yes,,Low
S1827,Yes,High School,High
S1828,Yes,Bachelor's,High
S1829,No,,Low
S1830,Yes,None,Medium
S1831,No,Bachelor's,High
S1832,Yes,PhD,Medium
S1833,Yes,,Medium
S1834,Yes,PhD,Medium
S1835,Yes,Bachelor's,Medium
S1836,Yes,PhD,Low
S1837,Yes,High School,Medium
S1838,Yes,Bachelor's,Medium
S1839,Yes,,High
S1840,Yes,High School,Low
S1841,No,PhD,Low
S1842,Yes,Bachelor's,Low
S1843,Yes,PhD,Medium
S1844,Yes,Bachelor's,Medium
S1845,No,None,Low
S1846,Yes,None,Medium
S1847,Yes,Bachelor's,Medium
S1848,Yes,,Low
S1849,Yes,Master's,Low
S1850,Yes,Bachelor's,High
S1851,Yes,High School,Medium
S1852,No,None,Medium
S1853,Yes,Bachelor's,High
S1854,No,Bachelor's,Low
S1855,Yes,Bachelor's,Low
S1856,Yes,High School,Medium
S1857,Yes,PhD,Low
S1858,Yes,,High
S1859,Yes,High School,Low
S1860,Yes,,Low
S1861,Yes,,Low
S1862,Yes,,High
S1863,Yes,Master's,Medium
S1864,Yes,None,Medium
S1865,Yes,High School,Low
S1866,Yes,High School,Low
S1867,Yes,None,High
S1868,Yes,,Medium
S1869,Yes,PhD,Low
S1870,Yes,Master's,Medium
S1871,Yes,High School,Medium
S1872,Yes,Master's,Low
S1873,Yes,,Medium
S1874,Yes,Master's,Low
S1875,Yes,None,High
S1876,Yes,None,Medium
S1877,No,None,High
S1878,Yes,PhD,Medium
S1879,Yes,PhD,Medium
S1880,Yes,None,Medium
S1881,Yes,Master's,Medium
S1882,Yes,None,Medium
S1883,Yes,None,Medium
S1884,No,Bachelor's,Medium
S1885,Yes,,High
S1886,Yes,PhD,Medium
S1887,Yes,None,High
S1888,Yes,None,High
S1889,Yes,Bachelor's,Medium
S1890,No,,High
S1891,Yes,,Medium
S1892,Yes,PhD,High
S1893,Yes,,Low
S1894,Yes,PhD,Low
S1895,No,Master's,Medium
S1896,Yes,None,Low
S1897,Yes,Master's,Medium
S1898,Yes,High School,Low
S1899,Yes,,High
S1900,Yes,PhD,Medium
S1901,Yes,None,Low
S1902,Yes,PhD,Medium
S1903,Yes,PhD,Medium
S1904,Yes,,High
S1905,Yes,,Medium
S1906,Yes,,Low
S1907,Yes,,High
S1908,Yes,PhD,High
S1909,Yes,,Low
S1910,Yes,None,Low
S1911,Yes,High School,Medium
S1912,Yes,High School,Medium
S1913,Yes,None,Medium
S1914,Yes,None,Low
S1915,Yes,,Low
S1916,Yes,High School,Medium
S1917,Yes,None,Low
S1918,Yes,Bachelor's,Low
S1919,Yes,High School,Medium
S1920,Yes,None,Low
S1921,Yes,Master's,Medium
S1922,Yes,None,Medium
S1923,No,High School,Low
S1924,Yes,,Medium
S1925,Yes,Bachelor's,Medium
S1926,Yes,None,Low
S1927,No,High School,Medium
S1928,Yes,,Low
S1929,Yes,None,Low
S1930,Yes,High School,Low
S1931,Yes,Master's,Medium
S1932,Yes,,Medium
S1933,Yes,High School,Low
S1934,Yes,PhD,High
S1935,Yes,None,Low
S1936,Yes,None,Low
S1937,Yes,High School,Low
S1938,Yes,Master's,Low
S1939,Yes,,High
S1940,Yes,Master's,Medium
S1941,No,Master's,Medium
S1942,Yes,PhD,Medium
S1943,Yes,PhD,Medium
S1944,No,Master's,High
S1945,Yes,Master's,Low
S1946,Yes,Master's,Low
S1947,Yes,None,Low
S1948,Yes,None,Low
S1949,Yes,None,Medium
S1950,Yes,None,Low
S1951,Yes,PhD,High
S1952,Yes,High School,Low
S1953,Yes,,Low
S1954,No,Master's,High
S1955,Yes,High School,Medium
S1956,Yes,None,Medium
S1957,Yes,Bachelor's,Low
S1958,Yes,Bachelor's,Low
S1959,Yes,PhD,High
S1960,Yes,Bachelor's,Medium
S1961,Yes,PhD,Low
S1962,Yes,PhD,Low
S1963,Yes,PhD,Low
S1964,Yes,High School,High
S1965,Yes,High School,Medium
S1966,Yes,Bachelor's,Medium
S1967,Yes,High School,Medium
S1968,Yes,None,High
S1969,Yes,PhD,Medium
S1970,Yes,None,Medium
S1971,Yes,High School,Low
S1972,Yes,Master's,Medium
